;Ano;Nome do Evento;Edição do Evento;Cidade;País do Evento;Total de Amostras;Países Participantes;Data do Evento;Total de Prêmios;pais;continente
128;2017;VINUS - Concurso Internacional de Vinos y Licores;14;Mendoza;Argentina;450.0;17.0;7 e 8 de agosto;51;Argentina;America do Sul
129;2017;Muscats du Monde;17;Frontignan la Peyrade;Franca;230.0;25.0;5 e 6 de julho;2;Franca;Europa
130;2017;Mondial du Merlot et Assemblages;10;Lugano;Suica;450.0;22.0;21 a 23 de abril;1;Suica;Europa
131;2017;Catad'Or World Wine Awards;22;Santiago;Chile;636.0;0.0;3 a 7 de julho;8;Chile;America do Sul
132;2017;VinAgora International Wine Competition;18;Budapeste;Hungria;556.0;15.0;16 a 19 de junho;2;Hungria;Europa
133;2017;Citadelles du Vin;17;Bourg-sur-Gironde;Franca;1074.0;31.0;10 e 11 de junho;5;Franca;Europa
134;2017;Sélections Mondiales des Vins;24;Quebec;Canada;1880.0;34.0;25 a 29 de maio;1;Canada;America do Norte
135;2017;Concurso Internacional Ensenada Tierra del Vino;25;Ensenada;Mexico;330.0;7.0;19 a 21 de maio;3;Mexico;America do Norte
136;2017;International Wine Challenge;33;Londres;Inglaterra;;0.0;18 a 27 de abril;29;Inglaterra;Europa
137;2017;Concours Mondial de Bruxelles;24;Valladolid;Espanha;9080.0;50.0;5 a 7 de maio;6;Espanha;Europa
138;2017;Bacchus;15;Madri;Espanha;1751.0;20.0;10 a 13 de março;3;Espanha;Europa
139;2017;Thessaloniki International Wine and Spirits Competition;17;Thessaloniki;Grecia;783.0;0.0;1º a 3 de março;3;Grecia;Europa
140;2017;Chardonnay du Monde;24;Saint Lager;Franca;706.0;38.0;8 a 11 de março;1;Franca;Europa
141;2017;Vinalies Internationales;23;Paris;Franca;3540.0;45.0;24 de fevereiro a 3 de março;11;Franca;Europa
142;2017;Concurso do Espumante Brasileiro;10;Garibaldi;Brasil;264.0;1.0;18 e 20 de outubro;97;Brasil;America do Sul
143;2018;IWSC - International Wine & Spirit Competition;2018;Londres;Inglaterra;;30.0;Março a Outubro;17;Inglaterra;Europa
144;2018;Decanter World Wine Awards;15;Londres;Inglaterra;16903.0;0.0;30 de abril a 11 de maio;44;Inglaterra;Europa
145;2018;Effervescents du Monde;16;Dijon;Franca;594.0;22.0;14 a 16 de novembro;10;Franca;Europa
146;2018;La Mujer Elige;13;Mendoza;Argentina;423.0;17.0;8 a 11 de novembro;50;Argentina;America do Sul
147;2018;VINUS - Concurso Internacional de Vinos y Licores;15;Mendoza;Argentina;478.0;17.0;9 e 10 de agosto;37;Argentina;America do Sul
148;2018;Muscats du Monde;18;Frontignan la Peyrade;Franca;212.0;23.0;4 e 5 de julho;3;Franca;Europa
149;2018;La Selezione del Sindaco;17;Canelli;Italia;1300.0;0.0;1º a 3 de junho;1;Italia;Europa
150;2018;VinAgora International Wine Competition;19;Eger;Hungria;548.0;14.0;15 a 18 de junho;6;Hungria;Europa
151;2018;Concurso Internacional Ensenada Tierra del Vino;26;Ensenada;Mexico;300.0;6.0;18 a 20 de maio;1;Mexico;America do Norte
